,state,pop,date,beds_covid
0,Johor,3794200,2022-09-19,541
1,Kedah,2193600,2022-09-19,255
2,Kelantan,1928900,2022-09-19,332
3,Melaka,937800,2022-09-19,129
4,Negeri Sembilan,1128900,2022-09-19,124
5,Pahang,1684700,2022-09-19,155
6,Perak,2509000,2022-09-19,462
7,Perlis,255500,2022-09-19,52
8,Penang,1774200,2022-09-19,124
9,Sabah,3832500,2022-09-19,828
10,Sarawak,2824700,2022-09-19,786
11,Selangor,6555100,2022-09-19,1260
12,Terengganu,1275200,2022-09-19,407
13,Kuala Lumpur,1746600,2022-09-19,212
14,Labuan,100100,2022-09-19,71
15,Putrajaya,116100,2022-09-19,83
